,Name,Class
14837,Plisetsky,Russian
1400,Kurtz,Czech
19789,Ganim,Arabic
6244,Bahr,German
19355,Maloof,Arabic
14616,Pagiev,Russian
1678,Zwolenksy,Czech
16879,Vispovatykh,Russian
9646,Baiseitoff,Russian
3685,Kenyon,English
13165,Kalitievsky,Russian
14707,Pavlyuk,Russian
14884,Pohodeev,Russian
430,Docherty,Scottish
10303,Chekhovsky,Russian
11152,Esionov,Russian
18421,Ghannam,Arabic
10830,Dovjenko,Russian
4080,Mccluskey,English
2026,Ashcroft,English
8164,Sugita,Japanese
7521,Hideaki,Japanese
14741,Pechurkin,Russian
9250,Awerbah,Russian
14417,Nesmachko,Russian
1776,Kolovos,Greek
5428,Wickens,English
2122,Batty,English
15687,ShirinskyShikhmatov,Russian
12230,Holyavin,Russian
12534,Jakupov,Russian
5,Archambault,French
12251,Honov,Russian
5467,Winstanley,English
19551,Bitar,Arabic
19901,Tuma,Arabic
16891,Vitruk,Russian
5636,De santigo,Spanish
15033,Prikupets,Russian
13375,Ligachev,Russian
348,Torres,Portuguese
7718,Kentaro,Japanese
9664,Bajanoff,Russian
15095,Rahmail,Russian
524,Albano,Italian
16212,Turoverov,Russian
6413,Gorman,German
4696,Reeve,English
17287,Yuzhalin,Russian
19469,Naifeh,Arabic
9964,Bawtrukevitch,Russian
3034,Freedman,English
14465,Noskov,Russian
16608,Vanyukov,Russian
10647,Didenko,Russian
11727,Grushko,Russian
2048,Atherstone,English
4595,Povey,English
3786,Knowles,English
9047,Atamoglanov,Russian
6065,Guo,Chinese
12572,Jamsuev,Russian
13921,Mikhailenko,Russian
18415,Asghar,Arabic
6037,Yuan,Chinese
12028,Harionovsky,Russian
17207,Yatzun,Russian
12100,Hazanov,Russian
11878,Hakhanyan,Russian
15189,Rengarten,Russian
13867,Michurin,Russian
1433,Mojzis,Czech
10227,Birshtein,Russian
19790,Ghanem,Arabic
7676,Karube,Japanese
8907,Andreli,Russian
11070,Emelianenkov,Russian
8837,Albats,Russian
16978,Vyshinsky,Russian
6744,Schneider,German
15620,Shamin,Russian
14728,Pechenin,Russian
2661,Dunnett,English
16400,Uzbekov,Russian
7796,Kurofuji,Japanese
7658,Kakinomoto,Japanese
4078,Mccarthy,English
12685,Jeimo,Russian
808,Grimaldi,Italian
9603,Baidjanoff,Russian
17780,Achteren,Dutch
11588,Gorski,Russian
15134,Rakhalsky,Russian
7232,Trieu,Vietnamese
5062,Teal,English
2500,Darbyshire,English
17347,Zelenovsky,Russian
1311,Janca,Czech
12231,Holyuchenko,Russian
819,Lagana,Italian
7177,Do,Vietnamese
15763,Tchanov,Russian
8787,Agoshkov,Russian
14440,Nezavitin,Russian
17022,Yafarov,Russian
14967,Poroskov,Russian
12802,Jikharev,Russian
18989,Safar,Arabic
5145,Tomkins,English
2840,Etheridge,English
15340,Ryjkin,Russian
4247,Nevis,English
413,Wright,Scottish
8387,Abalihin,Russian
6904,Wendell,German
2025,Ashby,English
6726,Samuel,German
5668,Gaspar,Spanish
1300,Hovanec,Czech
5829,Ventura,Spanish
17589,Zhiryakov,Russian
5373,Waugh,English
13344,Lezhenko,Russian
6120,Cha,Korean
4030,Mahoney,English
11675,Grohov,Russian
16018,Tsarek,Russian
13216,Katz,Russian
12303,Hudolei,Russian
19796,Bishara,Arabic
6046,Zhong,Chinese
16232,Turyanov,Russian
15751,Tchaldymov,Russian
7997,Okabe,Japanese
4579,Pollard,English
17267,Yukhotsky,Russian
17152,Yanenko,Russian
13649,Mahonov,Russian
103,Forest,French
9512,Bagmut,Russian
11138,Erusalimchik,Russian
8352,Yokokawa,Japanese
18019,Schneijder,Dutch
7526,Higo,Japanese
17885,Kouman,Dutch
3895,Lethbridge,English
12095,Havroshkin,Russian
12988,Juravkov,Russian
7632,Ito,Japanese
16908,Vozgov,Russian
7181,Ly,Vietnamese
12809,Jilin,Russian
19509,Atiyeh,Arabic
750,Donati,Italian
9252,Awerbuh,Russian
2246,Buchan,English
11197,Fazleev,Russian
8048,Saga,Japanese
9919,Batchish,Russian
10057,Belbaev,Russian
9595,Baidachny,Russian
17991,Romijnders,Dutch
12980,Junin,Russian
8212,Takudome,Japanese
18516,Shamoun,Arabic
20059,Kattan,Arabic
1228,Dempko,Czech
17418,Zhavrid,Russian
12460,Jagofarov,Russian
7499,Hanabusa,Japanese
14493,Nurgaleev,Russian
15659,Shenaev,Russian
15348,Ryzhankov,Russian
2641,Duckworth,English
9478,BagaiOol,Russian
11411,Gershkovich,Russian
8506,Aboimoff,Russian
18086,Tahan,Arabic
16489,Vakulentchuk,Russian
11467,Glazman,Russian
11396,Gayulsky,Russian
5071,Temple,English
5691,Jimenez,Spanish
8380,Abakumov,Russian
14140,Moldovyan,Russian
11662,Grischuk,Russian
9694,Bakastoff,Russian
19627,Samaha,Arabic
6421,Gros,German
19714,Najjar,Arabic
4533,Phelan,English
11877,Hakhalev,Russian
17,Belrose,French
17635,Zhmelkov,Russian
3713,Kidman,English
18818,Naifeh,Arabic
11848,Hahalev,Russian
9395,Babkoff,Russian
5017,Sturrock,English
16099,Tudorovsky,Russian
2852,Everton,English
9555,Bahovtsev,Russian
1379,Krawiec,Czech
5940,Luo,Chinese
15414,Sapojinsky,Russian
837,Leoni,Italian
17289,Yuzhenko,Russian
4940,Smythe,English
10506,Dar'Kin,Russian
6878,Wahner,German
12383,Iskenderov,Russian
7324,Rudaski,Polish
12948,Juhtman,Russian
8632,Adelhanyan,Russian
5216,Turkington,English
4273,Nicholson,English
4652,Ramsay,English
11604,Govorov,Russian
6625,Marquardt,German
18223,Hakimi,Arabic
3797,Kreyling,English
8057,Sakakibara,Japanese
1556,Schwartz,Czech
12480,Jahontov,Russian
18526,Tahan,Arabic
72,De sauveterre,French
10603,Deripaska,Russian
6621,Maier,German
924,Nicodemo,Italian
8137,Shirasu,Japanese
16093,Tubelsky,Russian
9117,Avduewski,Russian
9348,Babak,Russian
2255,Burch,English
2851,Everson,English
14524,Nyuhalov,Russian
5978,Shang,Chinese
17561,Zhilnikov,Russian
3488,Ingram,English
13787,Martynovsky,Russian
6541,Kneib,German
829,Laterza,Italian
15845,Tikhankin,Russian
4498,Pedley,English
4338,Oakton,English
3257,Guinard,English
2009,Arkins,English
15194,Renov,Russian
10752,Dobrinsky,Russian
17692,Zhurbenko,Russian
535,Alderisi,Italian
6868,Von brandt,German
19517,Kassis,Arabic
18774,Zogby,Arabic
7336,Slazak,Polish
8374,Abaimoff,Russian
2886,Farge,English
3001,Forsythe,English
10721,Djikovich,Russian
1552,Schneider,Czech
16022,Tsarevsky,Russian
799,Gimondi,Italian
469,Abello,Italian
2386,Collins,English
3589,Jonhson,English
10012,Behtin,Russian
19427,Mustafa,Arabic
13722,Makunin,Russian
10444,Churuksaev,Russian
5625,Cruz,Spanish
19809,Shammas,Arabic
10434,Chukhonkin,Russian
14391,Nastogunin,Russian
18261,Sayegh,Arabic
5991,Song,Chinese
4090,Mcdonald,English
9606,Baidukov,Russian
3574,Jewson,English
19178,Antoun,Arabic
10996,Egorihin,Russian
51,Cloutier,French
11660,Grigorovich,Russian
8550,Abrasimoff,Russian
15650,Sheludko,Russian
705,Columbo,Italian
13935,Mikhailychev,Russian
4236,Nelmes,English
4895,Shepherd,English
2603,Dorrian,English
18687,Kassis,Arabic
11903,Halikov,Russian
8949,Animitsa,Russian
3653,Kelk,English
1699,Bertsimas,Greek
2749,Eglan,English
2054,Atter,English
18430,Bishara,Arabic
4289,Nixon,English
18052,Sneijer,Dutch
19103,Baba,Arabic
3943,Lockwood,English
15042,Prokoshkin,Russian
15752,Tchaleev,Russian
13346,Lezhikov,Russian
782,Fontana,Italian
8016,Okuma,Japanese
4730,Ricketts,English
5101,Thurbon,English
5595,Belmonte,Spanish
12770,Jidkih,Russian
19541,Gaber,Arabic
17179,Yanpolsky,Russian
838,Lippi,Italian
4182,Morgan,English
2363,Clements,English
15022,Prigojin,Russian
11537,Golovachev,Russian
8802,Agranowsky,Russian
17715,Zimakov,Russian
15749,Tchajegov,Russian
17763,Zolotar,Russian
1640,Vejvoda,Czech
2870,Fahy,English
1245,Fencl,Czech
6475,Hoffmann,German
4931,Slocombe,English
12071,Hasnulin,Russian
3022,Francis,English
18307,Mansour,Arabic
3838,Last,English
14389,Nasrutdinov,Russian
16820,Vilonov,Russian
19197,Asghar,Arabic
7150,Sioda,Irish
9915,Batcherikov,Russian
15296,Rukhlyadko,Russian
3306,Harlow,English
8064,Sakuraba,Japanese
6022,Xing,Chinese
18621,Atiyeh,Arabic
1869,Tsahalis,Greek
5037,Symonds,English
18283,Hadad,Arabic
10678,Divakov,Russian
11555,Gorbachevsky,Russian
4332,Nutt,English
2335,Chauhan,English
707,Como,Italian
12963,Jukhotsky,Russian
9447,Badersky,Russian
16911,Vozlyubleny,Russian
19401,Mustafa,Arabic
17017,Yadrihinsky,Russian
2218,Brett,English
5650,Espinosa,Spanish
11923,Halyavin,Russian
4651,Rampling,English
16875,Visly,Russian
12363,Isagaliev,Russian
5553,Abaroa,Spanish
8681,Adriyanov,Russian
4722,Riches,English
16998,Yablochkov,Russian
6025,Yan,Chinese
102,Fontaine,French
7560,Horri,Japanese
7494,Hama,Japanese
2227,Broadley,English
1984,Anderson,English
1725,Demakis,Greek
11473,Glazyrin,Russian
9408,Babukhin,Russian
17349,Zelent,Russian
803,Giunta,Italian
16245,Tzakh,Russian
8031,Ota,Japanese
1811,Missiakos,Greek
6864,Voigt,German
3224,Greening,English
13203,Katsenelenbaum,Russian
6390,Gartner,German
9025,Astrakhantsev,Russian
19912,Maroun,Arabic
4408,Osullivan,English
10895,Durasov,Russian
10073,Belilovsky,Russian
14722,Pechagin,Russian
2101,Barker,English
5241,Ulyatt,English
2450,Cripps,English
7000,Eoin,Irish
1548,Schallom,Czech
4351,Odling,English
15218,Rjanitsin,Russian
16390,Utochkin,Russian
18141,Isa,Arabic
12488,Jakhin,Russian
18931,Kattan,Arabic
10811,Donchenko,Russian
11698,Grosov,Russian
10903,Durnopeiko,Russian
3452,Humphries,English
16683,Velichinsky,Russian
494,Adamoli,Italian
5388,Welsh,English
1753,Grammatakakis,Greek
1558,Sedmikova,Czech
2869,Fagon,English
6452,Haupt,German
15230,Rochev,Russian
4016,Mack,English
18983,Shamon,Arabic
18523,Kanaan,Arabic
9002,Arbudu,Russian
18029,Schwarzenberg,Dutch
19915,Ganem,Arabic
12600,Jankin,Russian
7273,Janda,Polish
2693,Easdale,English
17821,Vliert,Dutch
8527,Abramenko,Russian
19478,Assaf,Arabic
8102,Shiganori,Japanese
16753,Veselkov,Russian
784,Franco,Italian
4994,Stockley,English
18213,Deeb,Arabic
10790,Dodin,Russian
11164,Evdoshenko,Russian
4164,Mitchell,English
8995,Anurov,Russian
11683,Grokhotov,Russian
1885,Abdi,English
2415,Cornock,English
14760,Peltsman,Russian
2725,Edge,English
19756,Asghar,Arabic
14281,Mulatov,Russian
18567,Gerges,Arabic
7882,Modegi,Japanese
17541,Zhigmytov,Russian
12850,Jitlukhin,Russian
2765,Ellans,English
2780,Ellwood,English
16344,Uhanov,Russian
4421,Overing,English
14074,Modestov,Russian
2747,Eggison,English
6097,Wei,Chinese
13767,Martin,Russian
759,Fabbri,Italian
3409,Hollis,English
5890,Gim,Chinese
16842,Vinkler,Russian
2463,Crow,English
11936,Hamidullin,Russian
19808,Salib,Arabic
9493,Bagimoff,Russian
567,Amello,Italian
15338,Ryjikh,Russian
3382,Hine,English
18798,Tahan,Arabic
16704,Veliky,Russian
5035,Sylvester,English
5841,Zabala,Spanish
17550,Zhikharev,Russian
1664,Wilchek,Czech
13579,Lutovinov,Russian
70,Deniel,French
9232,Awdienko,Russian
18794,Attia,Arabic
16109,Tugolukov,Russian
2872,Fairbrace,English
5132,Titterington,English
10471,Dahin,Russian
18640,Ganim,Arabic
3731,Kilner,English
153,Lefebvre,French
14229,Movchan,Russian
16929,Vyalushkin,Russian
420,Williamson,Scottish
9274,Awgustoff,Russian
3843,Laurie,English
3966,Lovatt,English
5887,Gan,Chinese
13191,Kartovenko,Russian
3983,Lucey,English
5315,Wadham,English
2615,Down,English
16880,Vistchinsky,Russian
8275,Tsukatani,Japanese
5911,Jia,Chinese
8875,Alshevsky,Russian
17674,Zhulyabin,Russian
19045,Seif,Arabic
19647,Touma,Arabic
6614,Lorenzen,German
15083,Pytel,Russian
12038,Harkov,Russian
12490,Jakhnenko,Russian
14094,Mohnachev,Russian
4217,Naughton,English
1752,Gomatos,Greek
10906,Durnovtsev,Russian
14471,Novosadsky,Russian
18363,Abadi,Arabic
9516,Bagramov,Russian
3967,Love,English
13634,Mahankov,Russian
3590,Jopson,English
19651,Said,Arabic
6083,Man,Chinese
11137,Erunov,Russian
8191,Takasu,Japanese
18760,Baz,Arabic
12959,Jukhman,Russian
10273,Chartorijsky,Russian
17089,Yakovkin,Russian
6601,Leitz,German
1359,Kofron,Czech
8296,Uetake,Japanese
19027,Totah,Arabic
11357,Gasinov,Russian
17530,Zhigachev,Russian
8350,Yasutake,Japanese
11096,Engelmeier,Russian
15636,Shamsudinov,Russian
7303,Marek,Polish
19225,Ghannam,Arabic
10217,Birger,Russian
16351,Ujinov,Russian
13034,Kabalin,Russian
17689,Zhuravov,Russian
8319,Yamagata,Japanese
2474,Curley,English
14349,Muzyka,Russian
16289,Tzeimen,Russian
16420,Vabbe,Russian
6870,Von grimmelshausen,German
11088,Endzelin,Russian
18168,Sabbag,Arabic
5147,Tomlinson,English
11214,Filipenko,Russian
14049,Mliss,Russian
10970,Ebsvort,Russian
7633,Itoh,Japanese
19951,Haddad,Arabic
1615,Svoboda,Czech
12462,Jagubov,Russian
12921,Judinsky,Russian
3946,Loft,English
8248,Tomioka,Japanese
19998,Gaber,Arabic
19904,Srour,Arabic
15628,Shamro,Russian
19009,Malouf,Arabic
395,Macleod,Scottish
18499,Daher,Arabic
3743,Kings,English
11091,Engalychev,Russian
16984,Vysochin,Russian
19671,Dagher,Arabic
11522,Golosenko,Russian
9124,Avelichev,Russian
4278,Nicolas,English
18324,Koury,Arabic
1882,Abbas,English
13632,Mahalin,Russian
356,Thomson,Scottish
14116,Mokhnachev,Russian
4152,Millar,English
8019,Omori,Japanese
17406,Zharmukhamedov,Russian
8169,Suzambo,Japanese
578,Aquino,Italian
1762,Kaglantge,Greek
374,Mcdonald,Scottish
12470,Jagutyan,Russian
3058,Funnell,English
7822,Masanobu,Japanese
14475,Novoselsky,Russian
8669,Adokhin,Russian
14842,Plitman,Russian
17516,Zhevolozhnov,Russian
18642,Mansour,Arabic
9888,Barakovsky,Russian
7379,Abukara,Japanese
9411,Baburoff,Russian
4614,Pritchard,English
350,Ventura,Portuguese
1040,Salucci,Italian
7412,Asahi,Japanese
1968,Almond,English
9122,Avdyushin,Russian
10571,Dehanov,Russian
12939,Juhimuk,Russian
686,Carlevaro,Italian
8364,Yoshizaki,Japanese
4518,Perkin,English
14892,Pokhilenko,Russian
1838,Polymenakou,Greek
12054,Harybin,Russian
5926,Lam,Chinese
11875,Hakamada,Russian
5270,Vardy,English
17478,Zhemchujny,Russian
15813,Tchekvin,Russian
14298,Mun,Russian
10769,Dobrosotsky,Russian
1906,Adkins,English
17054,Yahnyuk,Russian
14512,Nurzat,Russian
15708,Talapa,Russian
18995,Zogby,Arabic
17359,Zenkin,Russian
12138,Himich,Russian
741,De vitis,Italian
14614,Padylin,Russian
7167,Tron,Vietnamese
1500,Pinter,Czech
9522,Bagrintsev,Russian
9789,Bakshansky,Russian
8072,Sarumara,Japanese
19578,Tuma,Arabic
3977,Lowis,English
11720,Grushevsky,Russian
15144,Rakhmanin,Russian
19793,Naifeh,Arabic
11079,Emtsov,Russian
13092,Kalaev,Russian
16033,Tsehansky,Russian
9693,Bakanov,Russian
16760,Vesnin,Russian
15753,Tchalov,Russian
2050,Atkin,English
17919,Merckx,Dutch
14481,Novotortsev,Russian
10643,Deulenko,Russian
4081,Mcclymont,English
8668,Adohin,Russian
16661,Vedenkin,Russian
18098,Zogby,Arabic
16004,Tsander,Russian
15866,Timakin,Russian
18399,Nazari,Arabic
9810,Bakushinsky,Russian
13846,Matzak,Russian
312,Henriques,Portuguese
18853,Asfour,Arabic
1101,Terzi,Italian
13041,Kaberov,Russian
14795,Pirtskhalava,Russian
16490,Vakulich,Russian
7717,Kenmotsu,Japanese
12174,Hlobystin,Russian
15065,Pyl,Russian
5070,Templar,English
18100,Bahar,Arabic
14797,Pirumov,Russian
1593,Srda,Czech
902,Nardi,Italian
19587,Rahal,Arabic
1610,Subertova,Czech
17100,Yakubonis,Russian
14676,Patz,Russian
9237,Awdonin,Russian
15428,Schepkin,Russian
10487,Danilchenko,Russian
10524,Darminov,Russian
14300,Munasipov,Russian
1613,Svejda,Czech
11106,Enman,Russian
7654,Kajahara,Japanese
8573,Abuhoff,Russian
17845,Hanraets,Dutch
16200,Turkin,Russian
9282,Awinowitsky,Russian
13578,Lutovich,Russian
19961,Kouri,Arabic
19783,Almasi,Arabic
9146,Averkovitch,Russian
14668,Pastreiter,Russian
19115,Toma,Arabic
15323,Ruzhilo,Russian
8530,Abramkoff,Russian
14242,Mozharov,Russian
12997,Jurikhin,Russian
11836,Hadarin,Russian
11723,Grushikhin,Russian
216,Porcher,French
12228,Holstov,Russian
2222,Bright,English
16609,Vanyushin,Russian
5797,Sastre,Spanish
2281,Caddy,English
6684,Peters,German
250,Severin,French
19561,Hadad,Arabic
